% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 19 2022, 20:09"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2172.9999999999995,2673.000007945224,2672.99480965103,2669.306540215352,2672.9999999999986,1.223854821413726
1,1,36,2172.9999999999995,2657.7985545585266,2668.694296613288,2500.8629440008735,2672.9999998146486,1.2238490552705903
1,1,72,2172.9999999999995,2622.2091345668928,2664.2168948354497,2456.72205367895,2672.9990614915573,1.2238490552574333
1,1,108,2172.9999999999995,2595.901781905932,2659.943946730538,2433.033275453689,2672.988459267243,1.2238490552578305
1,1,144,2172.9999999999995,2577.7291257050074,2655.855336889537,2418.389147820954,2672.938545109805,1.2238490552579713
1,1,180,2172.9999999999995,2563.92821983697,2651.8933560123264,2407.7525939671946,2672.8188816400293,1.2238490552579324
1,1,216,2172.9999999999995,2552.506783245899,2648.0171875194665,2399.141695997271,2672.6144803930906,1.223849055257917
1,1,252,2172.9999999999995,2543.2222517342416,2644.2285422182867,2392.2996957460764,2672.293868992259,1.2238490552579195
1,1,288,2172.9999999999995,2535.540252687158,2640.51143366232,2386.7599935566363,2671.86168962232,1.223849055257927
1,1,324,2172.9999999999995,2529.015630829664,2636.858272332614,2382.1196330028406,2671.2939747552764,1.2238490552579253
1,1,360,2172.9999999999995,2523.3347825292517,2633.2629682822976,2378.1069256864944,2670.571434439211,1.2238490552579229
1,1,396,2172.9999999999995,2518.3065368704324,2629.7196594839456,2374.570550463777,2669.6883829679514,1.2238490552579238
1,1,432,2172.9999999999995,2513.812482247925,2626.2229887945,2371.4238537679435,2668.6512592271147,1.2238490552579246
1,1,468,2172.9999999999995,2509.762432081469,2622.7683714473346,2368.599881225963,2667.4742097429707,1.2238490552579238
1,1,504,2172.9999999999995,2506.075986980996,2619.352021760536,2366.0361537854674,2666.1746403925745,1.2238490552579229
1,1,540,2172.9999999999995,2502.6832980806394,2615.9708491336396,2363.6778863583577,2664.769859651486,1.2238490552579224
1,1,576,2172.9999999999995,2499.5298498119,2612.6223213678923,2361.482801806665,2663.2752259396416,1.2238490552579224
1,1,612,2172.9999999999995,2496.5732134781074,2609.304359077149,2359.4200809069384,2661.7036660017197,1.2238490552579242
1,1,648,2172.9999999999995,2493.7784166178244,2606.015257619056,2357.465360098338,2660.066030764246,1.2238490552579242
1,1,684,2172.9999999999995,2491.1093589924303,2602.7533515273944,2355.5942873304266,2658.373545776235,1.223849055257922
1,1,720,2172.9999999999995,2488.5509949956845,2599.5177350655745,2353.796587100269,2656.632959205861,1.2238490552579242
1,1,756,2172.9999999999995,2486.0997416498644,2596.3122554577103,2352.0700415464626,2654.8453240532967,1.2238490552579275
1,1,792,2172.9999999999995,2483.726802849658,2593.132128471141,2350.395614452067,2653.0228189970735,1.2238490552579246
1,1,828,2172.9999999999995,2481.416831366999,2589.9758810242292,2348.7634740422363,2651.1719068895145,1.2238490552579215
1,1,864,2172.9999999999995,2479.1597865508256,2586.8427963012323,2347.1672895162474,2649.297180715567,1.2238490552579229
1,1,900,2172.9999999999995,2476.948333022995,2583.73236982547,2345.602297415434,2647.402341775881,1.2238490552579229
1,1,936,2172.9999999999995,2474.7758473964777,2580.6441916722906,2344.0648619600775,2645.490493401186,1.2238490552579249
1,1,972,2172.9999999999995,2472.637320544574,2577.577909075413,2342.551750777604,2643.5642654644003,1.2238490552579242
1,1,1008,2172.9999999999995,2470.528172480722,2574.5332180526343,2341.06034026473,2641.625892072286,1.223849055257922
1,1,1044,2172.9999999999995,2468.445190574895,2571.509847274987,2339.588627425919,2639.677272172009,1.2238490552579238
1,1,1080,2172.9999999999995,2466.385838012405,2568.507554495336,2338.134930903009,2637.7200204836035,1.2238490552579238
1,1,1116,2172.9999999999995,2464.3474628859412,2565.526123393605,2336.6980333821825,2635.7555112731325,1.2238490552579249
1,1,1152,2172.9999999999995,2462.328469725025,2562.565353426271,2335.2768646019913,2633.784915833318,1.2238490552579262
1,1,1188,2172.9999999999995,2460.326755022857,2559.6250673259033,2333.870479771828,2631.8092344981956,1.2238490552579242
1,1,1224,2172.9999999999995,2458.3413857924866,2556.705094823133,2332.478140594656,2629.8293238843803,1.2238490552579238
1,1,1260,2172.9999999999995,2456.371498486124,2553.8052774793814,2331.0992770128264,2627.8459198316154,1.2238490552579233
1,1,1296,2172.9999999999995,2454.415973703794,2550.9254688263964,2329.7333500180453,2625.8596569078322,1.223849055257922
1,1,1332,2172.9999999999995,2452.474591610743,2548.0655225948994,2328.379937689648,2623.871084800983,1.2238490552579233
1,1,1368,2172.9999999999995,2450.546238379561,2545.225305880583,2327.0387487664057,2621.8806822026004,1.223849055257926
1,1,1404,2172.9999999999995,2448.630721554602,2542.404686021021,2325.709398240794,2619.8888684981375,1.2238490552579275
1,1,1440,2172.9999999999995,2446.7275345414114,2539.6035363707197,2324.39172642917,2617.896013420197,1.2238490552579229
1,1,1476,2172.9999999999995,2444.8361539310404,2536.821736528158,2323.0854746379214,2615.902445195951,1.2238490552579238
1,1,1512,2172.9999999999995,2442.9567951290655,2534.0591625713323,2321.7904189696255,2613.908457231435,1.2238490552579218
1,1,1548,2172.9999999999995,2441.088836353862,2531.3156981710586,2320.506511822017,2611.9143137778647,1.223849055257922
1,1,1584,2172.9999999999995,2439.2325226414832,2528.591224695792,2319.2333975869115,2609.9202546616025,1.2238490552579238
1,1,1620,2172.9999999999995,2437.3874133648064,2525.8856270491137,2317.971033206646,2607.926499163347,1.2238490552579218
1,1,1656,2172.9999999999995,2435.5532628310657,2523.198792877519,2316.719344540433,2605.933249337669,1.2238490552579246
1,1,1692,2172.9999999999995,2433.730158534261,2520.530609492786,2315.478118424421,2603.940692636405,1.223849055257925
1,1,1728,2172.9999999999995,2431.917608556664,2517.880968089821,2314.247379642791,2601.9490041718723,1.2238490552579242
1,1,1764,2172.9999999999995,2430.11606891667,2515.2497563858233,2313.026905933268,2599.958348537652,1.2238490552579224
1,1,1800,2172.9999999999995,2428.3251273393653,2512.636866352188,2311.8166474092013,2597.968881309941,1.223849055257922
1,1,1836,2172.9999999999995,2426.544932044171,2510.042187397203,2310.6165307175706,2595.9807503657953,1.2238490552579246
1,1,1872,2172.9999999999995,2424.7754860129744,2507.4656109586026,2309.426351332912,2593.994096844988,1.2238490552579233
1,1,1908,2172.9999999999995,2423.016262028942,2504.907031626629,2308.2461323967214,2592.0090560672134,1.2238490552579229
1,1,1944,2172.9999999999995,2421.2676198608733,2502.3663407149293,2307.0757755914246,2590.025758224737,1.2238490552579238
1,1,1980,2172.9999999999995,2419.5290828967345,2499.843435793206,2305.9151894724814,2588.044328997013,1.2238490552579226
1,1,2016,2172.9999999999995,2417.801015109585,2497.3382084804152,2304.764288384832,2586.064890085265,1.2238490552579222
1,1,2052,2172.9999999999995,2416.083387831519,2494.850553124194,2303.6229896901427,2584.087559510472,1.2238490552579242
1,1,2088,2172.9999999999995,2414.37590305336,2492.380366247161,2302.4912187708724,2582.1124519726113,1.2238490552579222
1,1,2124,2172.9999999999995,2412.678879154906,2489.9275403102765,2301.3688845689658,2580.1396790811973,1.2238490552579233
1,1,2160,2172.9999999999995,2410.991760981423,2487.4919749440874,2300.255918893252,2578.169349651441,1.2238490552579222
1,1,2196,2172.9999999999995,2409.3148369598593,2485.0735646039666,2299.1522134981224,2576.2015699617714,1.2238490552579258
1,1,2232,2172.9999999999995,2407.647901267518,2482.6722073812393,2298.0577858123183,2574.2364438627437,1.2238490552579258
1,1,2268,2172.9999999999995,2405.990908048609,2480.287802191393,2296.972488382812,2572.274072942251,1.2238490552579246
1,1,2304,2172.9999999999995,2404.344110581821,2477.920244254363,2295.8962495754013,2570.3145565427435,1.223849055257925
1,1,2340,2172.9999999999995,2402.707138170933,2475.5694335270027,2294.829076375254,2568.3579918923033,1.2238490552579233
1,1,2376,2172.9999999999995,2401.080365925937,2473.235266033265,2293.7707525023175,2566.404474206126,1.2238490552579258
1,1,2412,2172.9999999999995,2399.4633010547964,2470.9176422754103,2292.721313083632,2564.454096763083,1.2238490552579238
1,1,2448,2172.9999999999995,2397.8560156526028,2468.6164620336344,2291.680648654949,2562.506951042903,1.2238490552579233
1,1,2484,2172.9999999999995,2396.2585315871875,2466.331625078008,2290.648681011698,2560.5631266877635,1.2238490552579238
1,1,2520,2172.9999999999995,2394.6705742240106,2464.063033544436,2289.625444954848,2558.6227115705638,1.223849055257921
1,1,2556,2172.9999999999995,2393.0926217613155,2461.810585771984,2288.6107222406663,2556.685791795379,1.2238490552579233
1,1,2592,2172.9999999999995,2391.524176192821,2459.574184561433,2287.6045443550574,2554.7524517500824,1.2238490552579226
1,1,2628,2172.9999999999995,2389.96560326298,2457.353728598747,2286.6068109027874,2552.8227742179083,1.2238490552579218
1,1,2664,2172.9999999999995,2388.416645276905,2455.1491207243057,2285.6173929368724,2550.8968403378462,1.223849055257922
1,1,2700,2172.9999999999995,2386.8769457040876,2452.960265075878,2284.636323107651,2548.9747296759306,1.2238490552579233
1,1,2736,2172.9999999999995,2385.3469375004283,2450.78706256607,2283.66348233095,2547.0565201980053,1.2238490552579242
1,1,2772,2172.9999999999995,2383.8260763537596,2448.629420175955,2282.698852202136,2545.1422883120295,1.2238490552579226
1,1,2808,2172.9999999999995,2382.3149058560125,2446.487237802513,2281.7423252631547,2543.2321089296593,1.2238490552579258
1,1,2844,2172.9999999999995,2380.8131801657473,2444.360420357417,2280.793823643636,2541.326055421463,1.2238490552579262
1,1,2880,2172.9999999999995,2379.3207198353693,2442.248872462248,2279.8533116025696,2539.4241996900005,1.223849055257926
1,1,2916,2172.9999999999995,2377.837831459097,2440.152496174458,2278.920708590689,2537.526612146787,1.2238490552579226
1,1,2952,2172.9999999999995,2376.3637906368676,2438.0712016834345,2277.995977729193,2535.6333617853734,1.2238490552579242
1,1,2988,2172.9999999999995,2374.9009435120915,2436.0078891605567,2277.0805828571188,2533.745397162075,1.2238490552579218
1,1,3024,2172.9999999999995,2373.4456869515293,2433.9570567871833,2276.1716796944233,2531.8612093554225,1.223849055257921
1,1,3060,2172.9999999999995,2371.9994322609255,2431.9205364182662,2275.270173352444,2529.981420597126,1.2238490552579246
1,1,3096,2172.9999999999995,2370.5622474034776,2429.898622974262,2274.3762361960535,2528.1062041603245,1.2238490552579224
1,1,3132,2172.9999999999995,2369.134116640315,2427.891301918515,2273.489808107445,2526.2356438538145,1.2238490552579204
1,1,3168,2172.9999999999995,2367.7150596058855,2425.898495755911,2272.6108558663486,2524.369804764642,1.2238490552579238
1,1,3204,2172.9999999999995,2366.304748017655,2423.9201182587803,2271.739371364651,2522.5087472252008,1.2238490552579233
1,1,3240,2172.9999999999995,2364.903463647189,2421.9560775477967,2270.875214183587,2520.6525295501133,1.223849055257921
1,1,3276,2172.9999999999995,2363.5109948467566,2420.006283726696,2270.018395165285,2518.8012086100466,1.2238490552579222
1,1,3312,2172.9999999999995,2362.127437185656,2418.070645775623,2269.168810920761,2516.9548399962373,1.2238490552579238
1,1,3348,2172.9999999999995,2360.7528528191456,2416.149072141349,2268.326378367915,2515.113478007102,1.2238490552579226
1,1,3384,2172.9999999999995,2359.386901882014,2414.241474437796,2267.4911200922083,2513.277175713948,1.2238490552579242
1,1,3420,2172.9999999999995,2358.029804749478,2412.3477622432306,2266.6628846900812,2511.44598495522,1.2238490552579226
1,1,3456,2172.9999999999995,2356.6811960979117,2410.467848539675,2265.8416902800973,2509.619956388349,1.2238490552579224
1,1,3492,2172.9999999999995,2355.341229611937,2408.6016443872086,2265.027483476553,2507.7991395457057,1.2238490552579238
1,1,3528,2172.9999999999995,2354.0099371023457,2406.7490618599104,2264.220146859648,2505.9835827815646,1.2238490552579238
1,1,3564,2172.9999999999995,2352.687124313181,2404.9100139070324,2263.4196802163165,2504.1733333130123,1.2238490552579224
1,1,3600,2172.9999999999995,2351.373054245414,2403.084411315244,2262.625986101819,2502.3684371813406,1.2238490552579215
1,1,3636,2172.9999999999995,2350.0673629859134,2401.272168876517,2261.8390252287118,2500.568939311777,1.2238490552579233
1,1,3672,2172.9999999999995,2348.7701598575154,2399.4731989527077,2261.058740164829,2498.7748835678917,1.2238490552579238
1,1,3708,2172.9999999999995,2347.4812679678184,2397.687416969458,2260.285077870954,2496.986312726957,1.223849055257922
1,1,3744,2172.9999999999995,2346.2006267212105,2395.914738146948,2259.518004036244,2495.2032685306594,1.2238490552579238
1,1,3780,2172.9999999999995,2344.9284258531916,2394.155076098126,2258.7574657976497,2493.4257916188462,1.2238490552579238
1,1,3816,2172.9999999999995,2343.6643929636307,2392.408348068802,2258.0033966805972,2491.6539215694875,1.2238490552579242
1,1,3852,2172.9999999999995,2342.408771021513,2390.674467435835,2257.2557139049945,2489.887696912843,1.2238490552579209
1,1,3888,2172.9999999999995,2341.161306403777,2388.9533511352042,2256.5144203682403,2488.127155139974,1.223849055257921
1,1,3924,2172.9999999999995,2339.922037232116,2387.244915435684,2255.779399014815,2486.3723327828075,1.2238490552579202
1,1,3960,2172.9999999999995,2338.690849433363,2385.5490773271267,2255.0506352264915,2484.623265358197,1.2238490552579242
1,1,3996,2172.9999999999995,2337.467502014719,2383.8657565186304,2254.3281219637875,2482.8799874112747,1.2238490552579238
1,1,4032,2172.9999999999995,2336.2523127938375,2382.194869407146,2253.6117444451884,2481.142532494097,1.2238490552579215
1,1,4068,2172.9999999999995,2335.045019696912,2380.5363354287288,2252.9015194817075,2479.4109331861646,1.2238490552579238
1,1,4104,2172.9999999999995,2333.845923670848,2378.8900711321553,2252.197301610041,2477.6852211604582,1.2238490552579242
